"Id","CouFips","CouName","TotPop","BlkPop","Area","Perimeter","WLong","ELong","SLat","NLat","CentroidLong","CentroidLat","CPopLong","CPopLat","USPVotesDem","USPVotesRep","USPVotes3rd","USSVotesDem","USSVotesRep","USSVotes3rd","ATTVotesDem","ATTVotesRep","ATTVotes3rd","AUDVotesDem","AUDVotesRep","AUDVotes3rd","TREVotesDem","TREVotesRep","TREVotes3rd"
"101","101","Philadelphia",1526006,661839,369610565.223385,119747.095351425,-75.280266,-74.955763,39.867004,40.137992,-75.1339627025134,40.0076380561029,-75.1393256392845,40.0044516029908,584025,108748,14858,560421,116714,8030,572323,103042,0,545850,103584,17638,558952,93425,16597
"003","003","Allegheny",1223348,161861,1928303141.46756,210983.045786236,-80.360873,-79.688761,40.194343,40.674935,-79.9811943943053,40.468833896331,-79.9666062302215,40.4462162753957,366934,259125,22949,357450,261316,28260,378613,256196,0,395006,207495,32092,375667,218201,36938
"091","091","Montgomery",799874,69351,1261828563.16782,197262.140082026,-75.696782,-75.015066,39.976959,40.446995,-75.3672952453558,40.2108298678821,-75.3138772173338,40.1701698997632,256082,162731,15874,237353,189574,5431,254710,174428,0,229623,183244,9462,244045,170720,8900
"017","017","Bucks",625249,22376,1610646531.27378,203259.69615569,-75.484057,-74.721519,40.048595,40.60858,-75.1068653702911,40.3369445625741,-75.0239268680241,40.2391881218424,167060,164361,12876,157709,175898,5845,169849,164700,0,153856,167173,10983,162463,159697,9770
"045","045","Delaware",558979,110260,493661170.393876,121234.709581547,-75.60154,-75.211463,39.801919,40.066196,-75.3988997143197,39.9168075566246,-75.3486108867209,39.9216259280764,177402,110667,9565,163377,126300,3948,168118,121174,0,157318,121326,8250,165027,115188,7173
"071","071","Lancaster",519445,19035,2548038123.5901,248204.80953655,-76.72162,-75.873375,39.721131,40.315971,-76.2477047396748,40.0424385718765,-76.2909887894448,40.0734997135692,91093,137914,12105,89922,142774,9909,92112,146289,0,89401,133936,14918,86810,134280,16412
"029","029","Chester",498886,30623,1966408734.48451,253288.108831746,-76.136672,-75.361042,39.721147,40.245125,-75.7484922101144,39.973172575685,-75.6800995169445,39.9909067887886,141682,116114,11004,127552,133662,9588,134067,133584,0,119098,129206,17368,127865,122172,16427
"133","133","York",434972,24344,2358760600.07769,256060.606270075,-77.137425,-76.23869,39.719799,40.226328,-76.7265112439441,39.9199624574597,-76.7504871114531,39.9423242517591,68524,128528,8934,69394,126350,10271,73708,129905,0,82697,110020,11257,69687,118646,14200
"011","011","Berks",411442,20143,2242297336.42652,206324.126810495,-76.440181,-75.529694,40.137107,40.67727,-75.925997731989,40.4162954688892,-75.908699501032,40.3651238518687,78437,96626,8002,77028,95466,6919,82011,92823,0,73201,90078,9799,79008,86003,8567
"129","129","Westmoreland",365169,8562,2683421039.77104,340830.716004707,-79.904954,-78.974267,40.040347,40.680049,-79.466962488495,40.3107256351457,-79.5908074947861,40.3397821355168,59669,116522,5860,62981,107532,9745,71607,105178,0,76271,90591,9280,73083,92405,9758
"077","077","Lehigh",349497,21440,901935939.522607,141186.66998744,-75.891473,-75.333514,40.418451,40.787523,-75.5923658845302,40.6127067559364,-75.5102369562622,40.5992968761627,81324,73690,5979,77232,76216,6627,84421,71740,0,75610,70138,9321,80181,65611,9286
"079","079","Luzerne",320918,10767,2347214275.76511,218458.343616686,-76.319957,-75.600522,40.901986,41.427246,-75.9890260756807,41.1770098117158,-75.9287085377012,41.2001530097086,52451,78688,3844,56477,66551,8650,63192,64010,0,61418,57038,8462,63150,55191,8337
"095","095","Northampton",297735,14986,977450615.598694,170020.021409333,-75.608985,-75.050839,40.536767,40.968378,-75.307418292594,40.7542307816032,-75.3204391412162,40.7006832352729,66272,71736,5511,64148,72176,3566,68035,67038,0,62222,67505,4807,66442,62936,4661
"049","049","Erie",280566,20155,4035800547.50901,281325.23260851,-80.519851,-79.610648,41.84904,42.516072,-80.0981063430658,42.1174762411053,-80.0706735077855,42.0673448434086,58112,60069,5498,56846,60948,4930,60946,57925,0,58259,51814,8645,63018,47775,7996
"043","043","Dauphin",268100,48386,1445674364.46237,199364.209358256,-77.029341,-76.535414,40.12007,40.659595,-76.7794743959366,40.4154403225212,-76.7965769904034,40.3071916430802,64706,60863,5303,62551,63740,2383,63496,62623,0,67893,54864,3715,63615,58000,3874
"041","041","Cumberland",235406,7527,1425275420.79533,222849.448439942,-77.627552,-76.858633,39.944077,40.328484,-77.2655476852632,40.1636348454743,-77.0993011268581,40.2046768017495,47085,69076,5456,44796,71638,5509,47185,73111,0,50060,63419,6933,45619,66137,8201
"069","069","Lackawanna",214437,5423,1204111611.11862,162589.39807641,-75.834695,-75.440389,41.161258,41.642263,-75.6091957355472,41.4367859442443,-75.6365506218704,41.441466031594,51983,48384,3089,53936,40519,7455,60591,38589,0,60392,31676,6436,59033,31715,6831
"125","125","Washington",207820,6757,2229738065.74054,252144.662430445,-80.51928,-79.838999,39.952016,40.477789,-80.2482443352015,40.189400744546,-80.1449388256657,40.2039017796577,36322,61386,3742,38133,56952,5824,43359,56022,0,46620,47972,4935,44385,49222,5480
"019","019","Butler",183862,2021,2058397417.65443,180212.181022824,-80.16529,-79.689868,40.669233,41.173134,-79.9129927117345,40.9117201679434,-79.9581535267827,40.8306055814186,28584,64428,4059,28715,62425,5465,31978,63470,0,32929,56605,5563,32081,56618,6164
"007","007","Beaver",170539,10676,1150067097.96859,139246.56882793,-80.519226,-80.14485,40.477286,40.855157,-80.3492872600432,40.6822629696234,-80.3031451873127,40.684021619802,32531,48167,2873,34263,44000,5058,38660,43599,0,40801,36890,4671,39494,37090,5457
"089","089","Monroe",169842,22348,1598421477.13779,199172.28846403,-75.649637,-74.966759,40.814746,41.252101,-75.3394763256351,41.0580678161219,-75.3079709199347,41.0412288503508,33918,33386,2448,34280,30743,1768,34481,30395,0,32084,30050,2518,34250,27889,2517
"027","027","Centre",153990,4638,2882614379.65052,345302.249405009,-78.376993,-77.143804,40.691557,41.252752,-77.8199512151975,40.9193416134865,-77.8352469679396,40.8416229753488,37088,35274,3786,35487,36527,4378,38225,37051,0,35335,33232,5662,35126,32470,6448
"055","055","Franklin",149618,4700,2001596642.66728,216826.876576821,-78.099403,-77.454109,39.71987,40.289885,-77.7212679559708,39.9274204565899,-77.6571631139436,39.8825680258221,17465,49768,2498,17827,48658,3309,19397,49218,0,17965,46030,4471,18393,44681,5164
"107","107","Schuylkill",148289,3967,2027480849.27645,203362.161467107,-76.701624,-75.757807,40.495434,40.94974,-76.2159548310202,40.7058005722614,-76.1955279623129,40.7142970757466,16770,44001,2098,19539,37757,4832,22381,38759,0,21102,35372,4423,23127,32796,4860
"021","021","Cambria",143679,5222,1796500539.80678,198022.097869198,-79.055983,-78.348389,40.242579,40.72604,-78.7137032910237,40.4952940087996,-78.7989380211646,40.4060905557541,18867,42258,1947,21894,36948,3886,26869,34791,0,27422,30301,3895,27980,29386,4008
"051","051","Fayette",136606,6325,2067612728.41601,244819.061854442,-80.010751,-79.29359,39.720678,40.143547,-79.6473693345291,39.919899648341,-79.7118522552019,39.9484637776285,17946,34590,1231,20547,29699,2958,23844,28264,0,24567,24780,2443,24210,24458,2842
"075","075","Lebanon",133568,2885,938866396.5891,128068.207314677,-76.67804,-76.151215,40.195549,40.555157,-76.4577120164042,40.3672317378285,-76.4434293690378,40.3414363787079,18953,40525,2367,19079,39386,3060,20372,40061,0,21268,35899,3312,19754,36577,3769
"013","013","Blair",127089,2129,1365100908.76854,199410.757192786,-78.620383,-78.116521,40.242107,40.743017,-78.3486041580868,40.4809952640278,-78.3788514848178,40.4874070885474,13958,39135,1816,15107,36533,3150,17169,37226,0,16881,34316,2991,16547,34205,3281
"085","085","Mercer",116638,6726,1767939698.50589,174232.105168791,-80.519345,-79.999204,41.069804,41.492269,-80.2577022525434,41.3021809760493,-80.3360213503595,41.2635870651088,18733,31544,2032,19193,30567,2046,20816,30031,0,19721,27844,3176,19875,27561,3171
"081","081","Lycoming",116111,5203,3221518385.22551,266588.03406167,-77.599474,-76.447597,41.068708,41.596919,-77.0645062219266,41.3433818706104,-76.9856895420844,41.2505825440872,13020,35627,1918,14187,33015,3365,15685,34400,0,15396,31764,2740,15974,30372,3437
"001","001","Adams",101407,1561,1351424286.72749,150103.070797437,-77.471085,-76.954932,39.719816,40.069945,-77.2178877899673,39.8714493465011,-77.1586223635035,39.8524573656994,14100,31423,1847,14593,30492,2418,15302,31432,0,15424,28214,3062,14566,28448,3573
"097","097","Northumberland",94528,1921,1236782640.74427,225238.700521945,-76.949414,-76.380152,40.603466,41.175762,-76.7093209235204,40.851984532031,-76.6815734479762,40.8729820870994,9788,25427,1407,11117,21826,2592,13052,21985,0,11679,20138,3049,12613,18933,3147
