8 7 8 14
14 13 14 20
20 19 20 26
9 8 9 15
15 14 15 21
21 20 21 27
27 26 27 33
10 9 10 16
16 15 16 22
22 21 22 28
28 27 28 34
11 10 11 17
17 16 17 23
23 22 23 29
8 14 14 15
14 20 20 21
20 26 26 27
9 15 15 16
15 21 21 22
21 27 27 28
10 16 16 17
16 22 22 23
22 28 28 29
11 17 17 18
17 23 23 24
8 9 15 9
14 15 21 15
20 21 27 21
26 27 33 27
9 10 16 10
15 16 22 16
21 22 28 22
27 28 34 28
10 11 17 11
16 17 23 17
22 23 29 23
8 2 9 8
14 8 15 14
20 14 21 20
26 20 27 26
9 3 10 9
15 9 16 15
21 15 22 21
27 21 28 27
10 4 11 10
16 10 17 16
22 16 23 22
28 22 29 28
17 11 18 17
23 17 24 23
