1,30,p1,p3
1,39,p2,p1
1,42,p3,p2
2,40,p4,p89
2,43,p5,p6
2,48,p6,p4
3,5,p7,p11
3,9,p8,p7
3,14,p9,p10
3,17,p10,p8
3,18,p11,p12
3,33,p12,p13
3,37,p13,p9
4,13,p14,p17
4,16,p15,p16
4,19,p16,p14
4,20,p17,p18
4,27,p18,p19
4,35,p19,p15
5,3,p11,p7
5,7,p20,p22
5,8,p21,p20
5,9,p7,p21
5,12,p22,p23
5,18,p23,p11
6,12,p24,p25
6,15,p25,p28
6,18,p26,p24
6,31,p27,p26
6,36,p28,p27
7,5,p22,p20
7,8,p20,p30
7,12,p29,p22
7,13,p30,p31
7,19,p31,p29
8,5,p20,p21
8,7,p30,p20
8,9,p21,p32
8,11,p32,p33
8,13,p33,p30
9,3,p7,p8
9,5,p21,p7
9,8,p32,p21
9,11,p34,p32
9,17,p8,p34
10,14,p35,p36
10,37,p36,p37
10,38,p37,p35
11,8,p33,p32
11,9,p32,p34
11,13,p38,p33
11,17,p34,p38
12,5,p23,p22
12,6,p25,p24
12,7,p22,p29
12,15,p39,p25
12,16,p40,p39
12,18,p24,p23
12,19,p29,p40
13,4,p17,p14
13,7,p31,p30
13,8,p30,p33
13,11,p33,p38
13,19,p14,p31
13,20,p41,p17
13,28,p38,p41
14,3,p10,p9
14,10,p36,p35
14,17,p42,p10
14,24,p43,p44
14,28,p44,p42
14,37,p9,p36
14,38,p35,p43
15,6,p28,p25
15,12,p25,p39
15,16,p39,p45
15,36,p45,p28
16,4,p16,p15
16,12,p39,p40
16,15,p45,p39
16,19,p40,p16
16,35,p15,p46
16,36,p46,p45
17,3,p8,p10
17,9,p34,p8
17,11,p38,p34
17,14,p10,p42
17,28,p42,p38
18,3,p12,p11
18,5,p11,p23
18,6,p24,p26
18,12,p23,p24
18,31,p26,p47
18,33,p47,p12
19,4,p14,p16
19,7,p29,p31
19,12,p40,p29
19,13,p31,p14
19,16,p16,p40
20,4,p18,p17
20,13,p17,p41
20,22,p48,p18
20,23,p49,p48
20,24,p50,p51
20,28,p41,p50
20,39,p51,p49
21,22,p52,p53
21,23,p53,p55
21,26,p54,p52
21,47,p55,p54
22,20,p18,p48
22,21,p53,p52
22,23,p48,p53
22,26,p52,p56
22,27,p56,p18
23,20,p48,p49
23,21,p55,p53
23,22,p53,p48
23,35,p57,p59
23,39,p49,p58
23,46,p58,p57
23,47,p59,p55
24,14,p44,p43
24,20,p51,p50
24,25,p43,p60
24,28,p50,p44
24,39,p60,p51
25,24,p60,p43
25,30,p61,p62
25,38,p43,p61
25,39,p62,p60
26,21,p52,p54
26,22,p56,p52
26,27,p63,p56
26,35,p64,p63
26,47,p54,p64
27,4,p19,p18
27,22,p18,p56
27,26,p56,p63
27,35,p63,p19
28,13,p41,p38
28,14,p42,p44
28,17,p38,p42
28,20,p50,p41
28,24,p44,p50
29,35,p65,p68
29,39,p66,p69
29,45,p67,p66
29,46,p68,p67
29,49,p69,p65
30,1,p3,p1
30,25,p62,p61
30,38,p61,p70
30,39,p1,p62
30,42,p70,p3
31,6,p26,p27
31,18,p47,p26
31,32,p71,p72
31,33,p72,p47
31,36,p27,p73
31,41,p73,p71
32,31,p72,p71
32,33,p74,p72
32,40,p75,p74
32,41,p71,p75
33,3,p13,p12
33,18,p12,p47
33,31,p47,p72
33,32,p72,p74
33,37,p76,p13
33,40,p74,p77
33,48,p77,p76
34,39,p78,p79
34,42,p79,p80
34,43,p80,p81
34,49,p81,p78
35,4,p15,p19
35,16,p46,p15
35,23,p59,p57
35,26,p63,p64
35,27,p19,p63
35,29,p68,p65
35,36,p82,p46
35,46,p57,p68
35,47,p64,p59
35,49,p65,p93
36,6,p27,p28
36,15,p28,p45
36,16,p45,p46
36,31,p73,p27
36,35,p46,p82
36,41,p83,p73
36,44,p84,p83
37,3,p9,p13
37,10,p37,p36
37,14,p36,p9
37,33,p13,p76
37,38,p85,p37
37,42,p86,p85
37,43,p87,p86
37,48,p76,p87
38,10,p35,p37
38,14,p43,p35
38,25,p61,p43
38,30,p70,p61
38,37,p37,p85
38,42,p85,p70
39,1,p1,p2
39,20,p49,p51
39,23,p58,p49
39,24,p51,p60
39,25,p60,p62
39,29,p69,p66
39,30,p62,p1
39,34,p79,p78
39,42,p2,p79
39,45,p66,p88
39,46,p88,p58
39,49,p78,p69
40,2,p89,p4
40,32,p74,p75
40,33,p77,p74
40,41,p75,p90
40,48,p4,p77
41,31,p71,p73
41,32,p75,p71
41,36,p73,p83
41,40,p90,p75
41,44,p83,p92
42,1,p2,p3
42,30,p3,p70
42,34,p80,p79
42,37,p85,p86
42,38,p70,p85
42,39,p79,p2
42,43,p86,p80
43,2,p6,p5
43,34,p81,p80
43,37,p86,p87
43,42,p80,p86
43,48,p87,p6
43,49,p91,p81
44,36,p83,p84
44,41,p92,p83
45,29,p66,p67
45,39,p88,p66
45,46,p67,p88
46,23,p57,p58
46,29,p67,p68
46,35,p68,p57
46,39,p58,p88
46,45,p88,p67
47,21,p54,p55
47,23,p55,p59
47,26,p64,p54
47,35,p59,p64
48,2,p4,p6
48,33,p76,p77
48,37,p87,p76
48,40,p77,p4
48,43,p6,p87
49,29,p65,p69
49,34,p78,p81
49,35,p93,p65
49,39,p69,p78
49,43,p81,p91
